GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
5051011700,Arkansas,Garland ,2019,5547,2113,0.298,0.5188,39.9,0.2127,0.0022,0.0009,0.0566,0.8501,0.1499,0.1301,0.5822,0.1231,0.0431,0.4695,31083.0,0.0,0.1827,0.0058,0.3994,2.6,0.0913,0.0265,0.1018,0.0638,0.0253,0.3282,0.2008,0.2191,918,150700,1.4897284206634192,-0.3571281016498345,0.5741434364903822,-0.11348956459858625,1.3202604131033306,0.06594223731812711,0.10414590584607723
5051011800,Arkansas,Garland ,2019,4512,2158,0.3167,0.5264,54.2,0.0776,0.0173,0.0222,0.0508,0.7539,0.2461,0.0635,0.527,0.0773,0.0134,0.4374,29570.0,0.0504,0.2128,0.0066,0.4583,2.04,0.0248,0.0556,0.1803,0.1408,0.0195,0.2067,0.2565,0.2971,778,183300,2.258268085879246,0.06160212033494734,1.6330978678252712,0.46306333537175015,0.8718062930317763,-0.7713015306844981,0.5722700772321837
5051011900,Arkansas,Garland ,2019,5567,2421,0.3251,0.5105,53.9,0.021,0.0167,0.0083,0.0225,0.0979,0.9021,0.1086,0.4073,0.0707,0.071,0.5948,38707.0,0.0636,0.1102,0.0358,0.2511,2.3,0.1739,0.0512,0.1962,0.0566,0.0,0.1545,0.2105,0.3209,762,285000,-0.0659740584514319,0.3745942441601767,2.0643892652385953,-0.46193019550200176,-0.5142235081906735,-1.5288038641575286,0.503997533118499
5051012001,Arkansas,Garland ,2019,4568,2173,0.4711,0.5304,59.7,0.0267,0.0,0.0,0.0164,0.7469,0.2531,0.0916,0.5131,0.063,0.0,0.6434,24171.0,0.0872,0.385,0.0241,0.2117,2.1,0.2401,0.0331,0.1339,0.116,0.0,0.1637,0.2312,0.2621,1033,145900,4.562555204442956,-0.3698493996534463,2.9291315644167604,0.2765240387598311,1.4894741007544658,0.2372749001653439,0.836223101233592
5051012002,Arkansas,Garland ,2019,3846,1784,0.5075,0.5263,63.3,0.0023,0.0042,0.0075,0.0806,0.785,0.215,0.0381,0.4805,0.0401,0.0146,0.6626,33942.0,0.0354,0.1734,0.0443,0.1917,2.16,0.0277,0.005,0.0964,0.118,0.0343,0.0829,0.1815,0.2267,986,148900,3.193017395518999,-1.0884695177293449,2.9291315644167604,0.8949418969906358,1.612398987449596,-1.1549855356086483,0.5615885909129406
5053470100,Arkansas,Grant ,2019,5332,1854,0.1994,0.5694,41.4,0.0323,0.0,0.0013,0.0084,0.9126,0.0874,0.1214,0.5062,0.0698,0.0038,0.418,26567.0,0.0432,0.177,0.0328,0.1553,2.88,0.4077,0.0076,0.0847,0.0493,0.0,0.0845,0.1673,0.1065,754,126500,-0.21277156946508557,-1.3437735250845142,-0.4795325129231644,-0.9056834500075703,1.0531249698489178,1.4630929487012456,-0.6544334989824493
5053470200,Arkansas,Grant ,2019,2986,1107,0.2528,0.4715,43.8,0.0,0.0074,0.0,0.0111,0.7543,0.2457,0.1057,0.4511,0.0996,0.0081,0.4426,29625.0,0.0605,0.2137,0.0228,0.1436,2.7,0.3732,0.0244,0.0632,0.0309,0.0,0.1922,0.2633,0.216,765,99500,-0.805955187878874,-0.7176238146849914,0.3653241758446137,-0.8767235670912128,-0.6393818405351379,1.0624498585878543,-0.32363936900835577
5053470300,Arkansas,Grant ,2019,3817,1466,0.2206,0.4755,43.4,0.0322,0.0024,0.0,0.087,0.849,0.151,0.0675,0.4595,0.1211,0.0034,0.3677,23118.0,0.0486,0.1424,0.0341,0.1412,2.6,0.2649,0.0307,0.1835,0.0466,0.0217,0.2051,0.208,0.1427,638,105700,-0.8905348419456788,-0.7525704716315248,-0.19019104250289365,-0.32107298542196333,-0.5001836142327338,0.8734832718434368,-0.39975261437427606
5053470400,Arkansas,Grant ,2019,5991,2436,0.255,0.4964,38.4,0.0312,0.0,0.0,0.0147,0.5224,0.4776,0.1429,0.426,0.0888,0.0287,0.3489,32037.0,0.017,0.0863,0.0532,0.2915,2.39,0.1135,0.0361,0.1297,0.0553,0.0009,0.1372,0.169,0.1334,721,143500,-1.8516961311910711,-0.5190357966715843,-0.3550116499400846,-0.6987356904429943,-0.2700922047123575,-0.0088207894240504,-0.4500502649859338
5055480100,Arkansas,Greene ,2019,2977,1224,0.2126,0.4753,38.3,0.0,0.0,0.0,0.0312,0.6042,0.3958,0.1511,0.4346,0.1877,0.0106,0.3873,22551.0,0.148,0.1015,0.0931,0.281,2.43,0.2844,0.0376,0.1234,0.0652,0.0077,0.1391,0.2455,0.0886,716,71000,-1.3078254524677873,-0.22136397537839325,-0.3227291224181608,-0.5161719755107668,-1.3516340085148604,1.1040736293543938,-0.3040834056788777
