GEOID,Total_Pop,Total_HH,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QED12LES,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QGROUP,QHISP,QHSEBRDN,QMOHO,QNATAM,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,Year
47065011402,6637,2485,802,110400,32.6,18750,2.66,0.201,0.0359,0.7026,0.0719,0.14,0.035,0.0558,0.2749,0.6022,0.6396,0.26,0.0051,0.0252,0.2584,0,0.0032,0.0052,0.1122,0.0963,0.3288,0.0064,0.2943,0.2877,0.0911,2012
47119010802,6655,2237,714,116500,30.2,16541,2.77,0.2137,0,0.2484,0.1265,0.1658,0.0448,0.1226,0.5758,0.53,0.5105,0.2271,0.0693,0.107,0.2861,0.1469,0.0029,0.046,0.1735,0.276,0.3397,0,0.2259,0.3339,0.1662,2012
47115050102,6657,2439,616,111900,39.7,18862,2.72,0.2178,0.0005,0.0017,0.1045,0.3392,0.0029,0.1653,0.732,0.4878,0.3911,0.1316,0.0024,0.0105,0.132,0.2711,0,0.0824,0.172,0.1718,0.2107,0.0103,0.1721,0.4112,0.1089,2012
47147080200,6658,2149,780,140500,35.1,23259,3.07,0.1464,0,0.0336,0.1191,0.1409,0.0213,0.165,0.7886,0.5092,0.4557,0.0754,0.0087,0.0502,0.1317,0.1886,0.0003,0.0098,0.1613,0.183,0.174,0.0237,0.1349,0.2331,0.0685,2012
47141000302,6667,2962,550,111700,26.4,13592,2.24,0.1431,0,0.0277,0.1025,0.2435,0.0359,0.0793,0.4795,0.5526,0.4552,0.1641,0.0048,0.0228,0.3758,0.1153,0,0.0618,0.2859,0.4655,0.7208,0.0054,0.3336,0.1833,0.0967,2012
47065011321,6673,2725,1104,187900,40.4,32302,2.44,0.2189,0.0788,0.1352,0.0383,0.0891,0.0639,0.0804,0.7899,0.5184,0.4791,0.0668,0.0027,0.0258,0.1758,0.0116,0,0.0194,0.1244,0.0797,0.3431,0.0418,0.1577,0.2572,0.1484,2012
47045964000,6677,2486,645,97000,37.8,18612,2.68,0.1919,0.001,0.0559,0.1159,0.2101,0.0015,0.1133,0.7371,0.4894,0.3953,0.1255,0.0012,0.0061,0.1569,0.1117,0.0012,0.0941,0.1156,0.1121,0.3532,0.0056,0.1046,0.3564,0.0957,2012
47155080802,6686,2970,690,187300,39.4,26285,2.23,0.2593,0.0061,0.0058,0.0394,0.1447,0.0739,0.0626,0.6829,0.4551,0.4584,0.1323,0.0102,0.1247,0.1768,0.0689,0.0024,0.0064,0.1916,0.122,0.3912,0.031,0.231,0.2923,0.1298,2012
47157008800,6689,1990,839,55300,29.9,12556,3.36,0.1902,0.023,0.1193,0.1635,0.35,0.289,0.321,0.5545,0.4868,0.304,0.201,0.0003,0.4244,0.2945,0,0,0.0804,0.3957,0.3552,0.4437,0,0.2388,0.2598,0.1963,2012
47119011002,6701,2654,558,91400,35.7,16623,2.49,0.2088,0,0.1631,0.1332,0.1952,0.0138,0.1549,0.4869,0.5105,0.5267,0.1876,0.0122,0.0191,0.1496,0.1993,0,0.0723,0.1592,0.2054,0.3139,0,0.1822,0.3436,0.1341,2012
47063100100,6704,2523,616,85400,32.3,13850,2.64,0.2273,0.0039,0.0741,0.1644,0.389,0.1707,0.1433,0.7153,0.5768,0.488,0.1494,0.0055,0.2979,0.2806,0.1187,0.0075,0.1403,0.3154,0.3158,0.518,0,0.1652,0.3896,0.1034,2012
47037015626,6707,2722,735,141800,30,20553,2.46,0.1481,0.0467,0.4931,0.0577,0.0947,0.1195,0.034,0.6051,0.5569,0.545,0.1984,0,0.1,0.3343,0,0,0.0481,0.1804,0.1684,0.6473,0.004,0.2539,0.1165,0.0361,2012
47037018401,6726,2964,965,180700,32.5,31831,2.27,0.1444,0.0782,0.1204,0.0757,0.0761,0.0749,0.0287,0.8039,0.5253,0.4834,0.1093,0,0.0853,0.2088,0,0,0.0145,0.1618,0.083,0.4835,0.055,0.1096,0.1663,0.1179,2012
47065010411,6729,2399,846,169100,38.7,26549,2.8,0.2104,0.0477,0.047,0.034,0.0869,0.0244,0.0947,0.7999,0.5311,0.473,0.0838,0,0.0186,0.1246,0.0191,0.0013,0.0088,0.0946,0.0819,0.1288,0.0083,0.0922,0.2672,0.0651,2012
47149040502,6731,2410,1027,161200,34.8,24786,2.74,0.1599,0,0.0737,0.0809,0.1174,0.0064,0.1415,0.7503,0.5194,0.487,0.0996,0.0175,0.012,0.1701,0.1406,0.0009,0.0245,0.0847,0.0544,0.1473,0.0095,0.1642,0.2095,0.0372,2012
47117955000,6741,2340,708,135200,38.6,22619,2.88,0.1584,0,0.0083,0.1215,0.1533,0.0005,0.0989,0.9394,0.5235,0.5229,0.0855,0,0.0036,0.1679,0.1695,0.0019,0.041,0.1429,0.1474,0.1363,0.0021,0.1599,0.3175,0.0944,2012
47065011100,6744,2689,1360,289400,43.6,50682,2.46,0.2727,0.0001,0.0025,0.0064,0.0338,0.015,0.0383,0.8356,0.5368,0.4451,0.1086,0.0193,0.001,0.1558,0,0,0.0443,0.0384,0.0095,0.161,0.1276,0.1062,0.3749,0.0804,2012
47043060200,6745,2497,696,120200,38.8,19963,2.63,0.1741,0.0007,0.0203,0.0869,0.2273,0.0031,0.1904,0.7309,0.5013,0.4606,0.129,0.0261,0.0087,0.1606,0.2725,0.0001,0.0416,0.1326,0.1845,0.1666,0,0.1483,0.3308,0.1095,2012
47037015623,6747,2310,826,158000,28,19261,2.92,0.1867,0,0.4045,0.1078,0.1262,0.0738,0.0427,0.4614,0.4924,0.4695,0.1961,0,0.1246,0.1918,0,0,0.0273,0.1801,0.2798,0.5061,0.0095,0.2328,0.1883,0.0371,2012
47145030400,6748,2854,680,106100,45.8,24257,2.36,0.2384,0.008,0.0136,0.0963,0.1412,0.0017,0.1166,0.7479,0.5212,0.5164,0.0967,0.0013,0.0157,0.1114,0.1496,0.0119,0.0291,0.0988,0.0868,0.1734,0.0088,0.211,0.4457,0.0899,2012
47125101804,6753,2384,1282,225800,40,36877,2.81,0.1376,0.021,0.0487,0.015,0.0665,0.0133,0.061,0.8066,0.5281,0.5167,0.1032,0.0065,0.0355,0.1216,0.0193,0,0.0688,0.0518,0.0763,0.1158,0.1019,0.1088,0.2353,0,2012
47093004606,6775,2505,997,181500,38.2,32052,2.7,0.1535,0.0245,0.0416,0.0219,0.0396,0.0256,0.0248,0.8438,0.524,0.4989,0.0782,0.0031,0.0339,0.0842,0.0247,0.0037,0.0279,0.0944,0.061,0.1449,0.0395,0.1717,0.2164,0.0332,2012
47145030300,6781,2787,740,157400,44.3,22534,2.43,0.2172,0,0.0019,0.0839,0.1626,0,0.1645,0.7221,0.5079,0.4374,0.0883,0,0.0112,0.1493,0.2938,0,0.0183,0.161,0.2041,0.2339,0.0161,0.2293,0.3911,0.1461,2012
47179061800,6783,2773,580,120300,42.3,23145,2.45,0.2085,0,0,0.0523,0.1637,0.0103,0.1332,0.8086,0.5142,0.5079,0.0714,0,0.0083,0.1792,0.2539,0,0.0393,0.101,0.0966,0.1662,0.0126,0.1421,0.3837,0.0676,2012
