GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QEXTRCT,QSERV,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47001020901,2014,6333,2382,0.2585,0.4931,44.7,0.0028,0,0.0092,0.0054,0.8383,0.0676,0.1561,0.0126,0.4026,24282,0.0766,0.0909,0.1132,0.4348,0.1291,0.1646,2.61,0.1199,0.0449,736,0.1751,169300,0.0496,0.0048,0.1838,0.018
47037019116,2014,6344,2827,0.131,0.5596,32,0.1892,0.0024,0.0508,0.09,0.6586,0.1033,0.054,0.0251,0.1772,31924,0.0598,0.0493,0.0976,0.5702,0.0651,0.4669,2.24,0.0046,0.0241,895,0.1599,231000,0.1116,0.0429,0.172,0.0017
47157021744,2014,6347,2065,0.1513,0.5629,34.9,0.8199,0.0028,0.0165,0.0723,0.6859,0.2087,0.1406,0.014,0.2005,22650,0.1311,0.0669,0.1691,0.5154,0.0337,0.2271,3.07,0,0.0208,1345,0.2542,119300,0.145,0.0338,0.0918,0
47093004500,2014,6351,2848,0.245,0.4708,33.8,0.042,0,0.0603,0.1326,0.8101,0.0376,0.1065,0.0485,0.23,35507,0.0721,0.0874,0.1396,0.3965,0.1396,0.6015,2.13,0.0076,0.0685,865,0.1907,230700,0.1369,0.0977,0.1349,0.0444
47115050102,2014,6355,2491,0.2277,0.5135,42.8,0.0044,0,0.0011,0.0236,0.6475,0.1389,0.3622,0.0068,0.4673,17847,0.1109,0.1784,0.1775,0.4131,0.1116,0.2509,2.54,0.2956,0.1329,539,0.1517,88400,0.1665,0.0093,0.2461,0.0052
47157022112,2014,6363,2253,0.1537,0.5516,27.7,0.9719,0,0,0,0.4832,0.3431,0.1537,0,0.1482,14095,0.2189,0.0779,0.1767,0.4429,0.1559,0.6893,2.81,0,0.1931,766,0.3977,92100,0.1898,0.0601,0.3775,0.0055
47187051100,2014,6363,2163,0.206,0.4943,42.9,0.0479,0,0.0086,0.0231,0.9753,0.0227,0.1063,0.0809,0.3111,33351,0.0515,0.0824,0.1578,0.4751,0.076,0.1211,2.94,0.1222,0.0398,1271,0.1382,278200,0.0762,0.002,0.0569,0
47157020531,2014,6383,1692,0.141,0.5394,27.8,0.6227,0,0,0.1913,0.6383,0.2914,0.1996,0,0.12,13066,0.084,0.1834,0.1286,0.4418,0.1137,0.4433,3.77,0.2431,0.0727,1042,0.3268,72100,0.2272,0.1072,0.2721,0
47145030300,2014,6403,2633,0.2325,0.5137,46.8,0.0086,0.0078,0,0.0094,0.7735,0.0661,0.1644,0.0118,0.4607,23489,0.1158,0.1891,0.2286,0.4598,0.1628,0.2093,2.43,0.2712,0.0482,627,0.1386,152600,0.1857,0,0.207,0
47141000900,2014,6405,2614,0.2226,0.462,37.4,0.0281,0,0,0.0186,0.7034,0.1224,0.1899,0.0054,0.3267,20415,0.0621,0.0717,0.1663,0.473,0.056,0.2322,2.44,0.0888,0.0432,627,0.2299,124300,0.1162,0.0139,0.1744,0.0053
47157021611,2014,6409,2131,0.1822,0.5222,38.3,0.0412,0,0.0206,0.0075,0.7758,0.1534,0.0361,0.0746,0.2633,35703,0.0751,0.0504,0.0951,0.4839,0,0.1234,2.98,0,0,1395,0.0657,218100,0.0372,0.003,0.065,0.0094
47011011201,2014,6410,2245,0.2222,0.5424,39.6,0.0665,0.0005,0.0034,0.0429,0.7629,0.1737,0.1041,0.004,0.3296,20490,0.1639,0.1054,0.1301,0.4559,0.0807,0.3127,2.85,0.0647,0.0125,881,0.1555,148400,0.1344,0.0079,0.2309,0.0009
47167040303,2014,6420,2136,0.1678,0.5087,39,0.0945,0,0.0058,0,0.8494,0.1114,0.0884,0.0192,0.2828,25968,0.067,0.1939,0.16,0.454,0.0957,0.2285,3.01,0.16,0.0365,953,0.0721,160100,0.059,0,0.0326,0
47065010432,2014,6427,2589,0.2718,0.5065,50.1,0.0047,0,0.023,0.0067,0.9095,0.0425,0.0693,0.0846,0.4303,41271,0.0428,0.0212,0.1004,0.4158,0.1137,0.2538,2.46,0.025,0.0506,1086,0.0861,224700,0.0889,0.0108,0.0277,0.0072
47157000100,2014,6429,3077,0.1238,0.5231,30.4,0.1783,0.0058,0.1325,0.0373,0.7152,0.0591,0.04,0.1092,0.0796,49698,0.0895,0.0186,0.0581,0.4621,0.065,0.6376,2.06,0,0.0266,1177,0.2015,231400,0.0816,0.0573,0.1713,0.0163
47179061402,2014,6435,2734,0.2101,0.5046,40.7,0.0044,0.0085,0.0319,0.0031,0.784,0.0764,0.0743,0.0867,0.2838,38524,0.0439,0.0887,0.1051,0.4529,0.0795,0.2963,2.3,0.0576,0.0355,667,0.1108,249300,0.055,0.0026,0.0994,0.0216
47037015626,2014,6439,2617,0.116,0.5276,30.6,0.4766,0,0.0502,0.1228,0.6841,0.1479,0.0972,0.0096,0.0692,23276,0.0583,0.0747,0.2103,0.4659,0.062,0.6286,2.46,0,0.0436,757,0.3145,135400,0.2118,0.1283,0.1493,0
47065011800,2014,6444,2664,0.2003,0.5492,34.8,0.1175,0,0.0113,0.0829,0.4418,0.1836,0.1601,0.0064,0.2924,21581,0.0333,0.0592,0.194,0.4965,0.0895,0.3829,2.42,0.0109,0.0191,805,0.1659,117000,0.1501,0.0502,0.1431,0.0016
47189030204,2014,6466,2399,0.1655,0.5184,41.8,0.0201,0,0,0.0087,0.9322,0.0538,0.1138,0.0742,0.2797,33369,0.1136,0.1096,0.0829,0.5148,0.0611,0.1613,2.69,0.1252,0,815,0.1538,252300,0.1019,0.0043,0.0492,0.0019
47063100100,2014,6471,2358,0.2513,0.5469,34.2,0.0284,0,0.0031,0.2201,0.7151,0.1315,0.3342,0,0.4309,15255,0.1258,0.1398,0.1407,0.4573,0.1419,0.5021,2.73,0.0986,0.0997,641,0.2757,86700,0.2075,0.1247,0.3424,0.0065
47187051001,2014,6472,2170,0.1676,0.4968,37.5,0.0354,0.002,0.066,0.0263,0.9424,0.0493,0.0301,0.1806,0.1747,47437,0.0298,0.0155,0.0688,0.4398,0,0.0608,2.98,0,0.0152,2001,0.1097,380700,0.0249,0.0158,0.0121,0
47081950200,2014,6477,2707,0.1808,0.4911,41.1,0.0167,0,0,0.0125,0.7272,0.1034,0.272,0,0.3521,16920,0.1191,0.1854,0.1811,0.4662,0.1133,0.2313,2.39,0.3904,0.0174,640,0.2534,86600,0.1976,0.0072,0.2114,0
47171080200,2014,6479,2598,0.2845,0.5191,46.9,0.0136,0.004,0,0.046,0.9052,0.0712,0.2655,0,0.4985,17689,0.1516,0.1314,0.1543,0.4616,0.1282,0.2787,2.41,0.1735,0.0831,622,0.1393,99600,0.1368,0.0348,0.2142,0.0329
47037013700,2014,6480,2436,0.1801,0.6211,31.1,0.8628,0.0017,0,0.0054,0.1901,0.3177,0.2045,0.0222,0.2964,14825,0.1465,0.004,0.2717,0.6378,0.0631,0.7504,2.53,0.0242,0.2956,710,0.2927,76500,0.1082,0.0197,0.5115,0.0474
47041920200,2014,6489,2508,0.2324,0.5113,43,0.0307,0,0.0237,0.0569,0.68,0.1762,0.2172,0.0275,0.3927,24359,0.0955,0.0847,0.2026,0.4542,0.178,0.4302,2.49,0.0656,0.1085,473,0.1264,112900,0.1835,0.0228,0.2474,0.0393
